CLB_pins_per_group,num_feedback_ble,lut_size,Tdel,T_ipin_cblock,T_local_CLB_routing,T_local_feedback,T_logic_block_output,mwta_clb,mwta_ipin_mux_trans,mwta_switch_mux_trans,mwta_switch_buf,mwta_cb_buf
13,5,5,1.141e-10,9.879e-11,8.637e-11,1.435e-10,3.902e-11,17936.354309841532,1.2559575028878802,1.961302579202418,30.52925922776715,11.205692861064005
13,5,6,1.228e-10,1.034e-10,8.243e-11,1.363e-10,3.56e-11,21945.98411939056,1.2559575028878802,1.961302579202418,36.090172129534096,12.338812431987572
